date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,37.0,38.8,36.6,38.8,59,37.6072,516
2024-05-29 00:00:00,38.2,39.0,37.0,37.2,42,37.8102,349
2024-05-30 00:00:00,36.6,37.08,33.4,34.8,96,35.0528,645
2024-05-31 00:00:00,34.2,36.2,33.8,33.8,51,35.0508,360
2024-06-03 00:00:00,34.4,34.4,31.2,31.2,64,32.9554,387
2024-06-04 00:00:00,102.0,300.0,92.802,240.2,68778,181.554,455445
2024-06-05 00:00:00,156.2,190.0,128.9,139.4,6684,156.5908,37752
2024-06-06 00:00:00,109.8,139.8,109.0,111.8,2285,125.353,13966
2024-06-07 00:00:00,105.2,105.6,80.0,88.6,1109,90.1946,6984
2024-06-10 00:00:00,91.0,128.998,87.7,88.6,7432,109.749,40693
2024-06-11 00:00:00,87.0,94.6,77.0,78.4,733,84.2412,4643
2024-06-12 00:00:00,79.0,91.2,77.6,87.6,630,85.8236,3700
2024-06-13 00:00:00,86.2,93.8,82.802,89.8,355,89.4082,2064
2024-06-14 00:00:00,89.6,91.8,80.2,80.4,222,84.454,1462
2024-06-17 00:00:00,82.0,84.798,69.6,71.0,421,74.1344,1785
2024-06-18 00:00:00,101.0,104.2,55.6,81.6,8399,77.2852,39654
2024-06-20 00:00:00,80.4,84.2,72.4,81.4,485,79.5408,2774
2024-06-21 00:00:00,83.0,83.8,74.8,77.2,281,78.9446,1683
2024-06-24 00:00:00,108.0,300.0,103.0,300.0,56107,166.4482,311748
2024-06-25 00:00:00,244.8,430.4,221.6,293.8,14692,311.3228,104047
2024-06-26 00:00:00,322.4,351.6,229.4,331.6,5860,300.2676,40046
2024-06-27 00:00:00,361.8,509.6,316.6,343.2,9820,406.878,62687
2024-06-28 00:00:00,350.4,399.8,301.47,326.2,2534,348.3592,17292
2024-07-01 00:00:00,313.4,318.398,214.8,259.2,2092,261.078,16118
2024-07-02 00:00:00,246.4,282.0,214.0,214.8,1223,248.5238,8879
2024-07-03 00:00:00,214.8,228.798,192.606,206.8,815,209.682,5305
2024-07-05 00:00:00,200.0,222.598,164.0,168.6,1276,195.1812,9921
2024-07-08 00:00:00,174.4,185.2,126.0,128.0,1514,148.7198,11531
2024-07-09 00:00:00,140.0,140.0,102.2,110.2,1829,117.1052,12592
2024-07-10 00:00:00,106.2,108.0,76.0,82.8,2288,90.2408,15461
2024-07-11 00:00:00,81.0,117.2,77.2,80.4,9566,99.045,56161
2024-07-12 00:00:00,78.6,82.8,66.6,68.8,2541,70.8562,13912
2024-07-15 00:00:00,72.6,72.96,62.6,65.8,2242,64.39,11047
2024-07-16 00:00:00,66.4,66.6,55.6,56.8,2743,59.2162,12687
2024-07-17 00:00:00,67.2,67.8,52.6,56.2,5729,59.127,30095
2024-07-18 00:00:00,54.4,54.8,45.2,47.6,3810,48.6012,17708
2024-07-19 00:00:00,44.6,59.0,43.4,53.4,6346,52.2802,25822
2024-07-22 00:00:00,58.4,59.4,45.2,47.8,5649,50.1382,29947
2024-07-23 00:00:00,45.0,45.8,39.0,41.4,5147,41.7056,21686
2024-07-24 00:00:00,40.0,40.0,34.5,35.8,3902,36.7496,16977
2024-07-25 00:00:00,36.0,47.6,35.2,39.6,10418,41.8222,44135
2024-07-26 00:00:00,37.2,38.8,32.4,33.8,5355,34.5246,22024
2024-07-29 00:00:00,33.8,33.804,30.0,31.2,4439,31.2286,14629
2024-07-30 00:00:00,29.8,31.0,25.4,26.8,5058,27.4482,16096
2024-07-31 00:00:00,26.4,33.3,25.0,28.4,8591,30.0652,28008
2024-08-01 00:00:00,27.6,28.1,23.2,24.6,4636,25.0856,17222
2024-08-02 00:00:00,22.8,27.0,22.4,25.8,4092,25.1708,13843
2024-08-05 00:00:00,23.0,25.2,23.0,23.6,1548,24.1932,4280
2024-08-06 00:00:00,24.8,25.0,20.4,21.0,3465,22.0192,10756
2024-08-07 00:00:00,21.8,21.8,20.6,21.6,1370,21.0768,3513
2024-08-08 00:00:00,21.2,21.4,16.948,18.42,4525,18.283,13183
2024-08-09 00:00:00,18.538,18.538,14.702,15.544,3999,15.809,11049
2024-08-12 00:00:00,14.75,16.78,13.13,13.698,3653,14.2576,12359
2024-08-13 00:00:00,13.6,14.916,12.5,14.6,3342,13.5568,8542
2024-08-14 00:00:00,14.4,14.798,11.678,12.052,3443,12.658,9876
2024-08-15 00:00:00,12.0,12.18,10.444,10.928,3252,11.0294,12490
2024-08-16 00:00:00,10.9,10.9,9.6,9.86,3596,9.927,10558
2024-08-19 00:00:00,9.71,11.8,8.6,11.002,9624,9.9558,22560
2024-08-20 00:00:00,14.0,15.39,9.9,10.71,15031,12.3612,39483
2024-08-21 00:00:00,10.0,10.5,9.026,10.12,5534,9.7818,15971
2024-08-22 00:00:00,10.0,11.6,10.0,11.38,8987,10.7608,18668
2024-08-23 00:00:00,12.52,12.8,10.06,10.312,9290,11.1476,26818
2024-08-26 00:00:00,10.4,10.474,9.712,9.924,3563,9.9594,9788
2024-08-27 00:00:00,9.648,10.878,9.434,9.68,4964,10.2244,10227
2024-08-28 00:00:00,9.916,10.0,8.524,8.592,4911,8.9554,11881
2024-08-29 00:00:00,8.592,8.934,7.804,8.06,4745,8.2652,11979
2024-08-30 00:00:00,8.24,8.24,7.2,7.462,5208,7.6,12642
2024-09-03 00:00:00,7.6,8.298,7.3,7.87,4169,7.714,9260
2024-09-04 00:00:00,7.56,8.4,7.0,7.88,4921,7.437,10636
2024-09-05 00:00:00,7.678,7.714,7.258,7.414,3126,7.4034,5569
2024-09-06 00:00:00,7.3,7.314,6.4,6.636,5322,6.721,9504
2024-09-09 00:00:00,6.59,6.66,6.2,6.302,4874,6.3666,9487
2024-09-10 00:00:00,6.376,6.376,5.6,5.71,5876,5.87,12754
2024-09-11 00:00:00,5.804,5.818,5.144,5.478,5415,5.332,11740
2024-09-12 00:00:00,5.6,5.6,5.0,5.056,5449,5.158,10380
2024-09-13 00:00:00,4.8,4.91,4.622,4.63,5757,4.706,10650
2024-09-16 00:00:00,4.64,7.48,4.64,5.58,100951,6.3398,142443
2024-09-17 00:00:00,5.416,6.226,4.712,4.778,14100,5.3476,22266
2024-09-18 00:00:00,4.8,4.9,4.046,4.158,10860,4.284,17939
2024-09-19 00:00:00,4.14,4.75,3.894,4.178,14565,4.2752,21383
2024-09-20 00:00:00,4.228,4.64,3.94,4.036,8782,4.1572,13880
2024-09-23 00:00:00,4.1,4.284,3.808,3.968,7740,3.9612,11811
2024-09-24 00:00:00,4.6,4.9,4.144,4.324,23266,4.4404,36916
2024-09-25 00:00:00,5.412,5.65,4.7,5.4,55236,5.2114,74065
2024-09-26 00:00:00,5.0,5.3,4.6,4.78,12617,4.9036,19761
2024-09-27 00:00:00,4.8,4.924,4.42,4.646,10602,4.632,13721
2024-09-30 00:00:00,4.8,5.322,4.76,5.054,19645,5.032,20548
2024-10-01 00:00:00,5.594,5.95,4.72,5.08,21225,5.1968,27234
2024-10-02 00:00:00,5.48,6.2,5.258,6.2,21567,5.6274,27854
2024-10-03 00:00:00,7.2,8.4,6.7,7.02,57383,7.5422,76576
2024-10-04 00:00:00,6.54,7.016,5.6,6.386,18382,6.2508,24636
2024-10-07 00:00:00,6.56,6.56,5.51,5.736,13896,5.87,17739
2024-10-08 00:00:00,5.4,5.458,4.76,4.894,12886,5.0124,17166
2024-10-09 00:00:00,4.47,5.1,4.28,5.04,16635,4.7012,18938
2024-10-10 00:00:00,5.068,8.74,5.06,7.492,96523,6.9824,105679
2024-10-11 00:00:00,7.04,8.22,6.004,6.79,25421,7.0624,31664
2024-10-14 00:00:00,6.498,8.2,6.236,7.46,28334,7.591,30907
2024-10-15 00:00:00,7.2,8.092,6.6,6.79,18463,7.3986,24299
2024-10-16 00:00:00,6.892,7.06,6.138,6.496,8028,6.4968,11141
2024-10-17 00:00:00,6.238,6.364,5.75,6.032,6647,6.0344,8811
2024-10-18 00:00:00,5.998,6.72,5.8,6.06,7609,6.2498,9622
2024-10-21 00:00:00,6.594,6.596,6.042,6.162,4630,6.2766,7063
2024-10-22 00:00:00,6.15,6.44,6.048,6.34,5203,6.26,6553
2024-10-23 00:00:00,5.962,6.18,5.8,5.848,4927,5.8828,6610
2024-10-24 00:00:00,5.16,5.4,4.862,5.046,7265,5.1218,8262
2024-10-25 00:00:00,4.85,5.208,4.512,4.638,6657,4.7656,8114
2024-10-28 00:00:00,4.66,5.088,4.544,4.792,5588,4.8476,5999
2024-10-29 00:00:00,4.814,4.818,4.422,4.5,4781,4.6114,5818
2024-10-30 00:00:00,4.5,4.61,4.2,4.262,4426,4.3848,6086
2024-10-31 00:00:00,4.294,4.294,4.01,4.12,3798,4.094,5109
2024-11-01 00:00:00,4.12,4.698,4.116,4.436,8886,4.431,8947
2024-11-04 00:00:00,4.47,4.47,4.134,4.242,2997,4.2444,4838
2024-11-05 00:00:00,4.3,4.36,4.114,4.134,2833,4.1988,4208
2024-11-06 00:00:00,4.1,4.104,3.92,4.02,3932,4.0092,4062
2024-11-07 00:00:00,4.142,4.44,4.05,4.21,5320,4.2272,4926
2024-11-08 00:00:00,4.26,4.356,4.11,4.22,3028,4.2146,3330
2024-11-11 00:00:00,4.25,4.274,4.03,4.2,4219,4.157,4309
2024-11-12 00:00:00,4.158,4.16,4.004,4.014,2990,4.0596,3590
2024-11-13 00:00:00,4.006,4.05,3.648,3.84,5258,3.843,6244
2024-11-14 00:00:00,3.84,4.0,3.802,3.82,2628,3.8696,3397
2024-11-15 00:00:00,3.992,3.992,3.628,3.806,3464,3.7846,3942
2024-11-18 00:00:00,3.71,3.838,3.53,3.584,2896,3.6492,4873
2024-11-19 00:00:00,3.544,3.582,3.288,3.344,4489,3.3658,6769
2024-11-20 00:00:00,3.36,3.626,3.314,3.368,3431,3.4544,5178
2024-11-21 00:00:00,3.342,3.462,3.33,3.374,2172,3.3814,3252
2024-11-22 00:00:00,3.4,4.534,3.286,4.1,15430,3.92,12150
2024-11-25 00:00:00,4.1,4.518,3.878,3.882,9614,4.207,9794
2024-11-26 00:00:00,3.88,3.896,3.46,3.556,4619,3.6502,6007
2024-11-27 00:00:00,3.562,3.686,3.41,3.42,3805,3.5264,4082
2024-11-29 00:00:00,3.42,3.686,3.42,3.472,3485,3.551,3307
2024-12-02 00:00:00,3.544,4.876,3.542,4.64,35467,4.3542,35612
2024-12-03 00:00:00,4.164,4.254,3.66,3.784,8103,3.842,12307
2024-12-04 00:00:00,3.8,4.034,3.6,3.674,5786,3.7052,9099
2024-12-05 00:00:00,3.606,3.74,3.44,3.504,5316,3.5344,9022
2024-12-06 00:00:00,3.632,3.9,3.38,3.42,8071,3.551,10038
2024-12-09 00:00:00,3.604,3.64,3.3,3.34,7454,3.4286,9136
2024-12-10 00:00:00,3.394,3.394,2.98,3.028,8548,3.107,10571
2024-12-11 00:00:00,3.028,3.066,2.7,2.704,8071,2.8304,9136
2024-12-12 00:00:00,2.906,2.98,2.4,2.58,6699,2.5732,10433
2024-12-13 00:00:00,2.59,3.84,2.35,2.35,81331,3.11623,21400
2024-12-16 00:00:00,2.24,2.2799,1.88,2.22,17921,2.03368,4722
2024-12-17 00:00:00,2.24,2.261,1.965,2.08,13691,2.04767,3351
2024-12-18 00:00:00,2.1,2.1,1.75,1.82,23678,1.93433,4344
2024-12-19 00:00:00,1.97,2.2099,1.86,1.97,23636,2.00535,4822
2024-12-20 00:00:00,1.91,1.94,1.77,1.81,11122,1.84447,2823
2024-12-23 00:00:00,1.91,1.9336,1.75,1.8,11659,1.83067,2244
2024-12-24 00:00:00,1.79,1.84,1.69,1.75,6973,1.72483,1313
2024-12-26 00:00:00,1.77,2.86,1.6556,2.85,78839,2.31616,13170
2024-12-27 00:00:00,2.73,3.15,2.44,2.95,37219,2.83586,6800
2024-12-30 00:00:00,3.44,4.14,3.01,4.07,74573,3.6911,13418
2024-12-31 00:00:00,6.9,7.69,3.45,3.76,261778,5.35932,51515
2025-01-02 00:00:00,4.67,4.84,3.42,3.56,78861,3.98247,16209
2025-01-03 00:00:00,3.44,3.44,2.85,2.95,46023,2.99229,8634
2025-01-06 00:00:00,2.93,2.98,2.54,2.65,36832,2.66308,6627
2025-01-07 00:00:00,2.56,2.88,2.3,2.51,27590,2.60635,4632
2025-01-08 00:00:00,2.27,2.32,2.04,2.11,21756,2.14692,4803
2025-01-10 00:00:00,2.23,2.32,2.02,2.05,17533,2.14313,2560
2025-01-13 00:00:00,2.0,2.1,1.84,1.93,15642,1.91179,2658
2025-01-14 00:00:00,1.97,2.0099,1.79,1.83,12808,1.87437,2653
2025-01-15 00:00:00,1.85,1.92,1.75,1.76,13925,1.82141,2843
2025-01-16 00:00:00,1.77,1.89,1.67,1.7,25995,1.73706,4377
2025-01-17 00:00:00,1.69,1.78,1.6499,1.71,16489,1.70914,2942
2025-01-21 00:00:00,1.69,1.695,1.56,1.58,12965,1.6112,2851
2025-01-22 00:00:00,1.57,1.6799,1.55,1.6,11439,1.61379,2050
2025-01-23 00:00:00,1.58,1.6007,1.44,1.48,13146,1.49414,2538
2025-01-24 00:00:00,1.49,1.57,1.47,1.52,12335,1.51692,1744
2025-01-27 00:00:00,2.26,2.41,1.725,1.83,305238,2.01167,63482
2025-01-28 00:00:00,1.85,2.03,1.7,1.94,44368,1.86758,7922
2025-01-29 00:00:00,1.75,1.91,1.73,1.74,22746,1.80775,4580
2025-01-30 00:00:00,1.7,1.74,1.53,1.58,18670,1.61455,3488
